,TradingDateUtc,DeliveryDateUtc,SettlementClearing,delivery_period_name,Commodity,Region,Sub-Region
56,2014-01-15,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
57,2014-01-15,2014-02-01,26.65,Month,Natural Gas,Germany,NCG (formerly EGT_H)
58,2014-01-15,2014-02-01,26.51,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
59,2014-01-15,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
60,2014-01-16,2014-02-01,26.572,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
61,2014-01-16,2014-03-01,26.646,Month,Natural Gas,Germany,NCG (formerly EGT_H)
62,2014-01-16,2014-03-01,26.539,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
63,2014-01-16,2014-02-01,26.748,Month,Natural Gas,Germany,NCG (formerly EGT_H)
64,2014-01-16,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
65,2014-01-16,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
66,2014-01-17,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
67,2014-01-17,2014-02-01,26.575,Month,Natural Gas,Germany,NCG (formerly EGT_H)
68,2014-01-17,2014-02-01,26.363,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
69,2014-01-17,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
70,2014-01-17,2014-03-01,26.347,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
71,2014-01-17,2014-03-01,26.45,Month,Natural Gas,Germany,NCG (formerly EGT_H)
72,2014-01-20,2014-02-01,26.438,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
73,2014-01-20,2014-02-01,26.588,Month,Natural Gas,Germany,NCG (formerly EGT_H)
74,2014-01-20,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
75,2014-01-20,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
76,2014-01-20,2014-03-01,26.4,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
77,2014-01-20,2014-03-01,26.488,Month,Natural Gas,Germany,NCG (formerly EGT_H)
78,2014-01-21,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
79,2014-01-21,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
80,2014-01-21,2014-02-01,26.525,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
81,2014-01-21,2014-02-01,26.735,Month,Natural Gas,Germany,NCG (formerly EGT_H)
82,2014-01-21,2014-03-01,26.512,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
83,2014-01-21,2014-03-01,26.632,Month,Natural Gas,Germany,NCG (formerly EGT_H)
84,2014-01-22,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
85,2014-01-22,2014-03-01,26.52,Month,Natural Gas,Germany,NCG (formerly EGT_H)
86,2014-01-22,2014-02-01,26.45,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
87,2014-01-22,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
88,2014-01-22,2014-03-01,26.395,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
89,2014-01-22,2014-02-01,26.599,Month,Natural Gas,Germany,NCG (formerly EGT_H)
90,2014-01-23,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
91,2014-01-23,2014-02-01,26.563,Month,Natural Gas,Germany,NCG (formerly EGT_H)
92,2014-01-23,2014-02-01,26.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
93,2014-01-23,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
